"","Security","Name","date","title","quarter"
"1","2020","2020 Bulkers Ltd.",2020-02-11,"2020 Bulkers Ltd. (2020) - Results for the fourth quarter","Q4"
"2","2020","2020 Bulkers Ltd.",2020-04-30,"2020 Bulkers Ltd. (2020) - Results for the first quarter","Q1"
"3","2020","2020 Bulkers Ltd.",2020-08-13,"2020 Bulkers Ltd. (2020) - Results for the second quarter and the first half of 2020","Q2"
"4","AASBME","Aasen Sparebank",2020-02-24,"Årsrapport 2019 Aasen Sparebank inkl. revisors beretning 2019","Q4"
"5","AASBME","Aasen Sparebank",2020-05-14,"Kvartalsrapport 1. kvartal 2020 - Aasen Sparebank","Q1"
"6","AASBME","Aasen Sparebank",2020-08-13,"Delårsrapport 2. kvartal 2020 Aasen Sparebank","Q2"
"7","ABT","Aqua Bio Technology ASA",2020-08-26,"Aqua Bio Technology: Preget av pandemien - forbereder ekspansjon","Q2"
"8","ADE","Adevinta ASA",2020-02-12,"Adevinta ASA (ADE) - Adevinta announces its fourth quarter 2019 results","Q4"
"9","ADE","Adevinta ASA",2020-05-05,"Adevinta ASA (ADE) - Adevinta announces its first quarter 2020 results","Q1"
"10","ADE","Adevinta ASA",2020-07-16,"Adevinta ASA (ADE) - Adevinta reports resilient performance in Q2","Q2"
"11","ADSCME","ADS Crude Carriers Plc",2020-02-27,"ADS Crude Carriers fourth quarter 2019","Q4"
"12","ADSCME","ADS Crude Carriers Plc",2020-05-28,"ADS Crude Carriers first quarter 2020","Q1"
"13","ADSCME","ADS Crude Carriers Plc",2020-08-28,"ADS Crude Carriers second quarter 2020","Q2"
"14","AEGA","Aega ASA",2020-02-28,"Interim report Q4 2019","Q4"
"15","AEGA","Aega ASA",2020-05-29,"Interim report Q1 2020","Q1"
"16","AEGA","Aega ASA",2020-08-28,"Interim report Q2 2020","Q2"
"17","AFG","AF Gruppen ASA",2020-02-14,"Presentation of the Q4 2019 report","Q4"
"18","AFG","AF Gruppen ASA",2020-05-15,"Presentasjon av rapporten for 1. kvartal 2020","Q1"
"19","AFG","AF Gruppen ASA",2020-08-21,"Presentation of the Q2 2020 report","Q2"
"20","AFK","Arendals Fossekompani ASA",2020-02-14,"AFK Kvartalsrapport 4. kvartal 2019","Q4"
"21","AFK","Arendals Fossekompani ASA",2020-05-07,"AFK Kvartalsrapport 1. kvartal 2020","Q1"
"22","AFK","Arendals Fossekompani ASA",2020-08-20,"AFK Rapport for 2. kvartal og 1. halvår 2020","Q2"
"23","AGS","Axxis Geo Solutions ASA",2020-02-26,"Fourth quarter 2019 earnings release","Q4"
"24","AGS","Axxis Geo Solutions ASA",2020-05-27,"AGS announces first quarter 2020 results","Q1"
"25","AGS","Axxis Geo Solutions ASA",2020-08-19,"AGS announces second quarter 2020 results","Q2"
"26","AKA","Akastor ASA",2020-02-13,"Akastor ASA: Fourth Quarter Results 2019","Q4"
"27","AKA","Akastor ASA",2020-04-28,"Akastor ASA: First Quarter Results 2020","Q1"
"28","AKA","Akastor ASA",2020-07-16,"Akastor ASA: Second Quarter and Half Year Results 2020","Q2"
"29","AKBMME","Aker BioMarine AS",2020-07-15,"AKER BIOMARINE DELIVERS STRONG GROWTH IN H1 2020","Q2"
"30","AKER","Aker ASA",2020-04-01,"Aker ASA: Annual, Environmental, Social and Corporate Governance Reports for 2019","Q4"
"31","AKER","Aker ASA",2020-05-08,"Aker ASA: First quarter results 2020","Q1"
"32","AKER","Aker ASA",2020-07-17,"Aker ASA: Second quarter and half-year results 2020 - Net Asset Value of NOK 34.3 billion. Unlocks growth opportunities in renewable energy and green technology industries","Q2"
"33","AKERBP","Aker BP ASA",2020-02-11,"Resultat for fjerde kvartal 2019 og kapitalmarkedsoppdatering","Q4"
"34","AKERBP","Aker BP ASA",2020-05-06,"First quarter 2020 results","Q1"
"35","AKERBP","Aker BP ASA",2020-07-14,"Resultat for andre kvartal 2020","Q2"
"36","AKSO","Aker Solutions ASA",2020-02-07,"Aker Solutions ASA: Fourth-Quarter Results 2019","Q4"
"37","AKSO","Aker Solutions ASA",2020-04-30,"Aker Solutions ASA: First-Quarter Results 2020","Q1"
"38","AKSO","Aker Solutions ASA",2020-07-15,"Aker Solutions ASA: Second-Quarter and Half-Year Results 2020","Q2"
"39","AKVA","AKVA group ASA",2020-02-14,"AKVA group ASA: 4Q 2019 financial reporting","Q4"
"40","AKVA","AKVA group ASA",2020-05-08,"AKVA group ASA: 1Q 2020 financial reporting","Q1"
"41","AKVA","AKVA group ASA",2020-08-14,"AKVA group ASA: 2Q and 1H 2020 financial reporting","Q2"
"42","ALNG","AWILCO LNG ASA",2020-02-28,"ALNG <U+0096> Q4 2019 report","Q4"
"43","ALNG","AWILCO LNG ASA",2020-08-28,"ALNG - Q2 2020 report","Q2"
"44","AMSC","American Shipping Company ASA",2020-02-28,"American Shipping Company ASA - Fourth quarter financial results","Q4"
"45","AMSC","American Shipping Company ASA",2020-05-20,"American Shipping Company ASA - First quarter 2020 financial results","Q1"
"46","AMSC","American Shipping Company ASA",2020-08-21,"American Shipping Company ASA - Second quarter financial results","Q2"
"47","ANDFME","Andfjord Salmon AS",2020-09-02,"Andfjord Salmon AS: Resultater for første halvår 2020","Q2"
"48","AQUA","AqualisBraemar ASA",2020-02-27,"Q4 2019 financial results","Q4"
"49","AQUA","AqualisBraemar ASA",2020-05-28,"Q1 2020 financial results","Q1"
"50","AQUA","AqualisBraemar ASA",2020-08-27,"Q2 2020 financial results","Q2"
"51","ARCHER","Archer Limited",2020-02-14,"Archer Limited: Fourth Quarter 2019 Earnings Release and Financial Outlook 2020","Q4"
"52","ARCHER","Archer Limited",2020-08-14,"Archer Limited: Second Quarter and Half Year 2020 Results","Q2"
"53","ARCUS","Arcus ASA",2020-02-13,"Arcus ASA: Fourth quarter results 2019 (corrected version)","Q4"
"54","ARCUS","Arcus ASA",2020-04-29,"Arcus ASA: First quarter results 2020","Q1"
"55","ARCUS","Arcus ASA",2020-08-18,"Arcus ASA: Second quarter results 2020","Q2"
"56","ARR","Arribatec Solutions ASA",2020-03-31,"Hiddn: Annual report 2019","Q4"
"57","ARR","Arribatec Solutions ASA",2020-08-28,"Interim Financial Report -  First half 2020","Q2"
"58","ASA","Atlantic Sapphire ASA",2020-03-26,"Atlantic Sapphire AS - 2019 Annual Report","Q4"
"59","ASA","Atlantic Sapphire ASA",2020-08-28,"Atlantic Sapphire ASA: 1st Half, 2020 Update and Financial Statements","Q2"
"60","ASC","ABG Sundal Collier Holding ASA",2020-02-12,"ABGSC - Q4 2019 Interim Report","Q4"
"61","ASC","ABG Sundal Collier Holding ASA",2020-04-28,"ABGSC - Q1 2020 Interim Report","Q1"
"62","ASC","ABG Sundal Collier Holding ASA",2020-07-10,"ABGSC - Q2 2020 Interim Report","Q2"
"63","ASETEK","Asetek A/S",2020-02-26,"Asetek - Q4 2019: Revenue in Line With Expectations, Evolving Gaming and Enthusiast Business Model","Q4"
"64","ASETEK","Asetek A/S",2020-04-22,"Asetek - Q1 2020: Lower Revenue and Increased Gross Margin","Q1"
"65","ASETEK","Asetek A/S",2020-08-12,"Asetek - Q2 2020: Gross margin increase and raised full-year expectations","Q2"
"66","ATEA","Atea ASA",2020-02-06,"Atea reports financial results for Q4 2019","Q4"
"67","ATEA","Atea ASA",2020-04-22,"Atea reports financial results for Q1 2020","Q1"
"68","ATEA","Atea ASA",2020-07-15,"Atea Q2 2020 financial report and presentation","Q2"
"69","AURG","Aurskog Sparebank",2020-01-30,"Aurskog Sparebank: Delårsregnskap Q4 2019- foreløpig årsregnskap","Q4"
"70","AURG","Aurskog Sparebank",2020-04-30,"Delårsregnskap 1Q 2020","Q1"
"71","AURG","Aurskog Sparebank",2020-08-13,"Delårsregnskap første halvår 2020","Q2"
"72","AUSS","Austevoll Seafood ASA",2020-02-25,"Finansiell rapport for 4. kvartal og foreløpige tall for år 2019","Q4"
"73","AUSS","Austevoll Seafood ASA",2020-05-14,"Finansiell rapport 1. kvartal 2020","Q1"
"74","AUSS","Austevoll Seafood ASA",2020-08-20,"Finansiell rapport 2. kvartal og 1. halvår 2020","Q2"
"75","AVANCE","Avance Gas Holding Ltd",2020-02-27,"Avance Gas Holding Ltd Reports Unaudited Results for the Fourth Quarter and Full Year of 2019","Q4"
"76","AVANCE","Avance Gas Holding Ltd",2020-05-28,"Avance Gas Holding Ltd Reports Unaudited Results for the First Quarter 2020","Q1"
"77","AVANCE","Avance Gas Holding Ltd",2020-08-26,"Avance Gas Holding Ltd Reports Unaudited Results for the Second Quarter of 2020","Q2"
"78","AWDR","Awilco Drilling Plc",2020-02-25,"Awilco Drilling PLC: Awilco Drilling Reports Q4 2019 results","Q4"
"79","AWDR","Awilco Drilling Plc",2020-05-13,"Awilco Drilling PLC: Awilco Drilling Reports Q1 2020 Results","Q1"
"80","AWDR","Awilco Drilling Plc",2020-08-12,"Awilco Drilling PLC: Awilco Drilling Reports Q2 2020 Results","Q2"
"81","AXA","Axactor SE",2020-02-12,"Axactor ends the year with high growth and margin expansion","Q4"
"82","AXA","Axactor SE",2020-04-21,"Axactor reports Q1 financials","Q1"
"83","AXA","Axactor SE",2020-07-23,"Axactor reports Q2 and H1 financials","Q2"
"84","AYFIEME","ayfie Group AS",2020-09-24,"ayfie Group AS - H1 2020 financial report","Q2"
"85","AZT","ArcticZymes Technologies ASA",2020-01-30,"Biotec Pharmacon Q4 2019 Presentation","Q4"
"86","AZT","ArcticZymes Technologies ASA",2020-04-23,"Biotec Pharmacon Q1 2020 Presentation","Q1"
"87","AZT","ArcticZymes Technologies ASA",2020-08-19,"ArcticZymes Technologies Q2 2020 Report","Q2"
"88","B2H","B2Holding ASA",2020-02-28,"B2Holding ASA: Fourth quarter results with stable Gross Cash Collection and Cash EBITDA","Q4"
"89","B2H","B2Holding ASA",2020-05-07,"B2Holding ASA: First quarter 2020 results","Q1"
"90","B2H","B2Holding ASA",2020-08-20,"B2Holding ASA: Second quarter and first half year 2020 results","Q2"
"91","BAKKA","Bakkafrost P/f",2020-02-25,"Operational EBIT of DKK 415 Million for the Fourth Quarter of 2019","Q4"
"92","BAKKA","Bakkafrost P/f",2020-05-05,"Operational EBIT of DKK 248 Million for the First Quarter of 2020","Q1"
"93","BAKKA","Bakkafrost P/f",2020-08-25,"Operational EBIT of DKK 182 Million for the Second Quarter of 2020","Q2"
"94","BALTME","Baltic Sea Properties AS",2020-04-02,"Baltic Sea Properties AS - Årsrapport 2019","Q4"
"95","BALTME","Baltic Sea Properties AS",2020-08-28,"Halvårsrapport (Q2) 2020 - Baltic Sea Properties AS","Q2"
"96","BDRILL","Borr Drilling Limited",2020-06-16,"Borr Drilling Limited files its 2019 Annual Report on Form 20-F and releases its 2019 Sustainability and Corporate Governance reports","Q4"
"97","BEL","Belships ASA",2020-02-21,"Belships ASA - Report 4th quarter 2019","Q4"
"98","BEL","Belships ASA",2020-05-15,"Belships ASA - Report 1st quarter 2020","Q1"
"99","BEL","Belships ASA",2020-08-21,"Belships ASA - Report 2nd quarter 2020","Q2"
"100","BGBIO","BerGenBio ASA",2020-02-11,"BERGENBIO ASA: RESULTS FOR THE FOURTH QUARTER AND FULL YEAR 2019","Q4"
"101","BGBIO","BerGenBio ASA",2020-08-18,"BERGENBIO ASA: RESULTS FOR THE SECOND QUARTER AND FIRST HALF OF 2020","Q2"
"102","BMA","Byggma ASA",2020-02-27,"BYGGMA ASA - RESULTAT FOR 4. KVARTAL 2019","Q4"
"103","BMA","Byggma ASA",2020-05-27,"BYGGMA ASA - RESULTAT FOR 1. KVARTAL 2020","Q1"
"104","BMA","Byggma ASA",2020-08-27,"BYGGMA ASA - RESULTAT FOR 2. KVARTAL 2020","Q2"
"105","BON","Bonheur ASA",2020-02-14,"Fourth quarter 2019 - Presentation file","Q4"
"106","BON","Bonheur ASA",2020-05-13,"Presentation 1 quarter 2020","Q1"
"107","BON","Bonheur ASA",2020-07-15,"Report for the second quarter 2020 and the first half year 2020","Q2"
"108","BOR","Borgestad ASA",2020-02-27,"BOR - Delårsrapport 4. kvartal 2019","Q4"
"109","BOR","Borgestad ASA",2020-05-20,"BOR - Delårsrapport 1. kvartal 2020","Q1"
"110","BOR","Borgestad ASA",2020-08-21,"BOR - Delårsrapport 2. kvartal 2020","Q2"
"111","BOUVET","Bouvet ASA",2020-02-25,"BOUVET CONTINUED TO MAKE GOOD PROGRESS","Q4"
"112","BOUVET","Bouvet ASA",2020-05-19,"GODT FØRSTE KVARTAL FOR BOUVET","Q1"
"113","BOUVET","Bouvet ASA",2020-08-25,"Gode resultater, men en usikker fremtid","Q2"
"114","BRAME","BRAbank ASA",2020-02-14,"Easybank leverer et resultat før skatt på 20,2 millioner i 4. kvartal","Q4"
"115","BRAME","BRAbank ASA",2020-05-15,"Easybank leverer et resultat før skatt på 4,9 millioner i 1. kvartal 2020","Q1"
"116","BRAME","BRAbank ASA",2020-08-14,"Easybank leverer et resultat før skatt i 2. kvartal på 19,1 millioner","Q2"
"117","BRG","Borregaard ASA",2020-02-05,"Borregaard ASA: EBITA adj. NOK 73 million (NOK 94 million) in the 4th quarter","Q4"
"118","BRG","Borregaard ASA",2020-04-29,"Borregaard ASA: EBITDA NOK 242 million (NOK 255 million) in the 1st quarter","Q1"
"119","BRG","Borregaard ASA",2020-07-16,"Borregaard ASA: All-time high EBITDA² of NOK 361 million in the 2nd quarter","Q2"
"120","BSPME","Black Sea Property AS",2020-05-26,"Årsrapport 2019","Q4"
"121","BSPME","Black Sea Property AS",2020-09-30,"BLACK SEA PROPERTY AS: HALF YEAR REPORT 2020","Q2"
"122","BWE","BW Energy Limited",2020-03-18,"BW Energy: Annual report for 2019","Q4"
"123","BWE","BW Energy Limited",2020-08-26,"BW Energy: Second Quarter and First-Half 2020 Results","Q2"
"124","BWLPG","BW LPG Limited",2020-02-28,"BW LPG Financial Results for Q4 and FY 2019 and Annual Report 2019","Q4"
"125","BWLPG","BW LPG Limited",2020-05-26,"BW LPG Financial Results for Q1 2020","Q1"
"126","BWLPG","BW LPG Limited",2020-08-27,"BW LPG Financial Results for Q2 2020 and H1 2020","Q2"
"127","BWO","BW Offshore Limited",2020-02-28,"BW Offshore: fourth quarter and full year results 2019 - Correction*","Q4"
"128","BWO","BW Offshore Limited",2020-08-27,"BW Offshore: Second Quarter and First Half 2020 Results","Q2"
"129","CARA","Carasent ASA",2020-02-12,"Caraaent AS: Q4 2019 Financial Report","Q4"
"130","CARA","Carasent ASA",2020-04-28,"Carasent ASA: Q1 2020 Financial Report","Q1"
"131","CARA","Carasent ASA",2020-08-13,"CARASENT ASA - Q2 and Half Year Report 2020","Q2"
"132","CLOUDME","Cloudberry Clean Energy AS",2020-09-16,"Cloudberry Clean Energy AS | First half year 2020 report: Delivering on our growth ambitions","Q2"
"133","COV","ContextVision AB",2020-02-20,"ContextVision opplevde sterkt momentum i 2019, både innen medisinsk bildebehandling og digital patologi","Q4"
"134","COV","ContextVision AB",2020-04-23,"ContextVision Sees Strongest Quarter Ever with Record Sales and Product Momentum within Digital Pathology","Q1"
"135","COV","ContextVision AB",2020-08-13,"ContextVision's second quarter sees multiple product releases including digital pathology debut","Q2"
"136","CRAYON","Crayon Group Holding ASA",2020-02-11,"Crayon Group Holding ASA: Financial results for Q4 2019","Q4"
"137","CRAYON","Crayon Group Holding ASA",2020-05-12,"Crayon Group Holding ASA: Financial results for Q1 2020","Q1"
"138","CRAYON","Crayon Group Holding ASA",2020-08-11,"Crayon Group Holding ASA: Financial results for Q2 2020","Q2"
"139","DNB","DNB ASA",2020-02-06,"DNB vinner terreng i Spare-markedet","Q4"
"140","DNB","DNB ASA",2020-07-13,"Flere lyspunkter og lavere tap","Q2"
"141","DNO","DNO ASA",2020-02-06,"DNO Reports Record Revenues, Production; Steps Up Returns to Shareholders","Q4"
"142","DNO","DNO ASA",2020-05-07,"DNO Reports 35 Percent Cut in 2020 Spend, Bolstering Cash Position","Q1"
"143","DNO","DNO ASA",2020-07-30,"DNO Steps Up Activity; Releases Second Quarter 2020 Results","Q2"
"144","DOF","DOF ASA",2020-02-21,"Financial Report 4[th] quarter for DOF ASA","Q4"
"145","DOF","DOF ASA",2020-05-27,"Financial Report 1st quarter for DOF ASA","Q1"
"146","DOF","DOF ASA",2020-08-21,"Financial Report 2nd quarter for DOF ASA","Q2"
"147","EAM","EAM Solar ASA",2020-02-25,"EAM Solar ASA: Q4 2019 Financial Report","Q4"
"148","EAM","EAM Solar ASA",2020-05-19,"EAM Solar ASA: Q1 2020 Financial Report","Q1"
"149","EAM","EAM Solar ASA",2020-08-18,"EAM Solar ASA: Q2 2020 Financial Report","Q2"
"150","EIOF","Eidesvik Offshore ASA",2020-02-25,"EIOF - Report for 4th Quarter 2019","Q4"
"151","EIOF","Eidesvik Offshore ASA",2020-05-13,"EIOF - Report for 1st Quarter 2020","Q1"
"152","EIOF","Eidesvik Offshore ASA",2020-08-26,"EIOF - Report for 2nd Quarter 2020","Q2"
"153","ELE","Element ASA",2020-02-28,"Element ASA: Fourth quarter 2019 report","Q4"
"154","ELE","Element ASA",2020-05-29,"Element ASA: First Quarter 2020 report","Q1"
"155","ELE","Element ASA",2020-08-31,"Interim Financial Report - First half 2020","Q2"
"156","ELK","Elkem ASA",2020-02-13,"Results still hampered by weak markets, new acquisition supporting specialisation","Q4"
"157","ELK","Elkem ASA",2020-05-08,"Results holding up in challenging market environment","Q1"
"158","ELK","Elkem ASA",2020-07-17,"Strong competitive position demonstrated in weak markets","Q2"
"159","EMGS","Electromagnetic Geoservices ASA",2020-04-30,"EMGS: Board of directors approves audited financial statements and annual report for 2019","Q4"
"160","EMGS","Electromagnetic Geoservices ASA",2020-07-23,"EMGS reports second quarter 2020 results","Q2"
"161","ENDUR","Endúr ASA",2020-02-14,"Q4 2019 quarterly interim report","Q4"
"162","ENDUR","Endúr ASA",2020-05-29,"Kvartalsrapport for 1. kvartal 2020","Q1"
"163","ENDUR","Endúr ASA",2020-08-27,"Kvartalsrapport for 2. kvartal 2020","Q2"
"164","ENTRA","Entra ASA",2020-02-07,"Strong letting, proposing semi-annual dividend of 2.40 per share","Q4"
"165","ENTRA","Entra ASA",2020-06-04,"First Norwegian company with a Shades of Green Assessment from CICERO","Q1"
"166","ENTRA","Entra ASA",2020-07-10,"Q2-20: Solid performance in a challenging period","Q2"
"167","EPICME","Epic Gas Ltd.",2020-04-16,"EPIC GAS LTD. - AUDITED CONSOLIDATED FINANCIAL STATEMENTS FY2019","Q1"
"168","EPICME","Epic Gas Ltd.",2020-08-13,"EPIC GAS LTD. - RELEASE OF Q2 2020 RESULTS","Q2"
"169","EPR","Europris ASA",2020-01-30,"Growth and improved margins from solid operations","Q4"
"170","EPR","Europris ASA",2020-04-23,"Strong sales growth driven by good merchandising and the impact of the Covid-19 outbreak","Q1"
"171","EPR","Europris ASA",2020-07-10,"Record sales and profits in the second quarter","Q2"
"172","EQNR","Equinor ASA",2020-02-06,"Equinors resultater for  fjerde kvartal og året 2019","Q4"
"173","EQNR","Equinor ASA",2020-05-07,"Equinor first quarter 2020 results","Q1"
"174","EQNR","Equinor ASA",2020-07-24,"Equinor second quarter 2020 results","Q2"
"175","FIVEPG","5th Planet Games A/S",2020-06-11,"27-2020 5th Planet Games A/S - Annual Report for 2019: Driving Down the Company Costs","Q4"
"176","FIVEPG","5th Planet Games A/S",2020-09-18,"46-2020  5th Planet Games A/S <U+0096> H1 2020 financial report","Q2"
"177","FJORD","Fjord1 ASA",2020-02-26,"Fjord1 fourth quarter and 2019 results","Q4"
"178","FJORD","Fjord1 ASA",2020-05-13,"Q1 2020: Safe and stable operations in a challenging environment","Q1"
"179","FJORD","Fjord1 ASA",2020-08-19,"New contracts secured growth","Q2"
"180","FKRAFT","Fjordkraft Holding ASA",2020-02-13,"Fjordkraft Holding ASA: Resultater Q4 2019 og Kapitalmarkedsdag","Q4"
"181","FKRAFT","Fjordkraft Holding ASA",2020-05-14,"Fjordkraft Holding ASA: Q1 2020 results","Q1"
"182","FKRAFT","Fjordkraft Holding ASA",2020-08-20,"Fjordkraft Holding ASA: Resultater Q2 2020","Q2"
"183","FLNG","FLEX LNG LTD",2020-02-26,"Flex LNG Q4, 2019 Earnings Release","Q4"
"184","FLNG","FLEX LNG LTD",2020-05-28,"Flex LNG Q1, 2020 Earnings Release","Q1"
"185","FLNG","FLEX LNG LTD",2020-08-19,"Flex LNG Q2, 2020 Earnings Release","Q2"
"186","FRO","Frontline Ltd.",2020-02-27,"FRO - Fourth Quarter and Full Year 2019 Results","Q4"
"187","FRO","Frontline Ltd.",2020-05-20,"FRO - First Quarter 2020 Results","Q1"
"188","FRO","Frontline Ltd.",2020-08-27,"FRO - Second Quarter and Six Months 2020 Results","Q2"
"189","GENTME","Gentian Diagnostics AS",2020-04-24,"2019 Annual Report","Q4"
"190","GENTME","Gentian Diagnostics AS",2020-08-21,"2nd quarter and first half 2020 report","Q2"
"191","GEOSME","Golden Energy Offshore Services AS",2020-06-30,"GEOS - Financial Statements 2019","Q4"
"192","GEOSME","Golden Energy Offshore Services AS",2020-09-30,"GEOS - FIRST HALF 2020 FINANCIAL REPORT","Q2"
"193","GIG","Gaming Innovation Group Inc",2020-02-18,"Gaming Innovation Group reports Q4 2019","Q4"
"194","GIG","Gaming Innovation Group Inc",2020-05-05,"Gaming Innovation Group reports Q1 2020","Q1"
"195","GIG","Gaming Innovation Group Inc",2020-08-11,"Gaming Innovation Group reports Q2 2020","Q2"
"196","GJF","Gjensidige Forsikring ASA",2020-01-22,"Solid fjerde kvartal og rekordhøyt årsresultat - Styret foreslår et utbytte på 12,25 kroner per aksje.","Q4"
"197","GJF","Gjensidige Forsikring ASA",2020-04-22,"Solid underwriting result offset by effects from financial market turmoil","Q1"
"198","GJF","Gjensidige Forsikring ASA",2020-07-14,"Beste andre kvartalsresultat noensinne","Q2"
"199","GOD","Goodtech ASA",2020-02-26,"Goodtech: Resultat for 4. kvartal 2019","Q4"
"200","GOD","Goodtech ASA",2020-05-13,"Goodtech: Resultat for 1. kvartal 2020","Q1"
"201","GOD","Goodtech ASA",2020-08-21,"Goodtech: Resultat for 2. kvartal og 1. halvår 2020","Q2"
"202","GOGL","Golden Ocean Group Limited",2020-02-18,"GOGL - Fourth Quarter 2019 Results","Q4"
"203","GOGL","Golden Ocean Group Limited",2020-05-27,"GOGL - First Quarter 2020 Results","Q1"
"204","GOGL","Golden Ocean Group Limited",2020-08-18,"GOGL - Second Quarter 2020 Results","Q2"
"205","GRONGME","Grong Sparebank",2020-02-26,"Foreløpig årsrapport 2019","Q4"
"206","GRONGME","Grong Sparebank",2020-05-13,"1. kvartalsrapport","Q1"
"207","GRONGME","Grong Sparebank",2020-08-12,"1. halvårsrapport","Q2"
"208","GSF","Grieg Seafood ASA",2020-02-13,"Grieg Seafood ASA: Q4 2019 results - Positive operational development drives strong earnings","Q4"
"209","GSF","Grieg Seafood ASA",2020-05-07,"Grieg Seafood ASA: Q1 2020 results - Efficient production maintained, earnings impacted by biological challenges in Finnmark","Q1"
"210","GSF","Grieg Seafood ASA",2020-08-18,"Grieg Seafood ASA: Q2 2020 results - Stable volume and cost in turbulent market","Q2"
"211","GYL","Gyldendal ASA",2020-03-06,"Gyldendal ASA <U+0096> Årsrapport for 2019","Q4"
"212","GYL","Gyldendal ASA",2020-08-28,"Gyldendal ASA: 1. halvår 2020","Q2"
"213","HAFNIA","Hafnia Limited",2020-02-25,"Hafnia 2019","Q4"
"214","HAFNIA","Hafnia Limited",2020-05-25,"Hafnia Condensed Interim Financial Info 2020 Q1","Q1"
"215","HAFNIA","Hafnia Limited",2020-08-28,"Hafnia Condensed Interim Financial Info 2020 Q2 and H1 2020","Q2"
"216","HAVI","Havila Shipping ASA",2020-02-28,"Havila Shipping ASA: Regnskap for fjerde kvartal 2019 / Foreløpig regnskap for 2019","Q4"
"217","HAVI","Havila Shipping ASA",2020-05-28,"Havila Shipping ASA: First quarter 2020 accounts","Q1"
"218","HAVI","Havila Shipping ASA",2020-08-25,"Havila Shipping ASA: Regnskap for andre kvartal 2020","Q2"
"219","HBC","Hofseth BioCare ASA",2020-02-07,"Hofseth Biocare ASA: Fourth Quarter 2019 Financial Report","Q4"
"220","HBC","Hofseth BioCare ASA",2020-05-15,"Hofseth Biocare ASA: First Quarter 2020 Financial Report","Q1"
"221","HBC","Hofseth BioCare ASA",2020-08-28,"Hofseth Biocare ASA: SECOND QUARTER & HALF YEAR 2020 FINANCIAL REPORT","Q2"
"222","HELG","Helgeland Sparebank",2020-02-05,"Regnskap 4. kvartal 2019","Q4"
"223","HELG","Helgeland Sparebank",2020-04-29,"Delårsrapport 1. kvartal 2020","Q1"
"224","HELG","Helgeland Sparebank",2020-08-12,"Regnskap Q2 2020","Q2"
"225","HEX","Hexagon Composites ASA",2020-02-12,"Hexagon Composites ASA: Results for the fourth quarter 2019","Q4"
"226","HEX","Hexagon Composites ASA",2020-05-20,"Hexagon Composites ASA: Results for the first quarter of 2020","Q1"
"227","HEX","Hexagon Composites ASA",2020-08-12,"Hexagon Composites ASA: Results for the second quarter and first half year 2020","Q2"
"228","HLNG","Höegh LNG Holdings Ltd",2020-02-27,"Höegh LNG: Interim results for the quarter and year ended 31 December 2019","Q4"
"229","HLNG","Höegh LNG Holdings Ltd",2020-05-28,"Höegh LNG: Interim results for the quarter ended 31 March 2020","Q1"
