"","Security","Name","date","title","quarter"
"230","HSPG","Høland og Setskog Sparebank",2020-02-07,"Delårsrapport 4. kvartal 2019 <U+0096> foreløpig årsregnskap 2019","Q4"
"231","HSPG","Høland og Setskog Sparebank",2020-05-01,"Delårsrapport  Q1 2020","Q1"
"232","HSPG","Høland og Setskog Sparebank",2020-08-14,"Delårsrapport Q2 2020","Q2"
"233","HUNT","Hunter Group ASA",2020-02-28,"Hunter Group ASA - Fourth Quarter Results 2019","Q4"
"234","HUNT","Hunter Group ASA",2020-05-28,"Hunter Group ASA - First Quarter Results 2020","Q1"
"235","HUNT","Hunter Group ASA",2020-08-27,"Hunter Group ASA - Second Quarter Results 2020","Q2"
"236","HYARD","Havyard Group ASA",2020-07-05,"Årsrapport 2019","Q4"
"237","HYARD","Havyard Group ASA",2020-08-27,"Result Q2 2020","Q2"
"238","ICE","Ice Group ASA",2020-02-14,"Ice Group ASA - Fourth quarter and full year 2019 results","Q4"
"239","ICE","Ice Group ASA",2020-05-14,"Ice Group ASA: First quarter 2019 results","Q1"
"240","ICE","Ice Group ASA",2020-08-18,"Ice Group ASA: Second quarter and half year 2020 results","Q2"
"241","IDEX","IDEX Biometrics ASA",2020-02-27,"IDEX Biometrics's report for the fourth quarter of 2019","Q4"
"242","IDEX","IDEX Biometrics ASA",2020-05-14,"IDEX Biometrics - Report for the first quarter of 2020","Q1"
"243","IDEX","IDEX Biometrics ASA",2020-08-13,"IDEX Biometrics - Interim report for the first half of 2020","Q2"
"244","IFISHME","Ice Fish Farm AS",2020-08-31,"Q2 2020 and half year results ICE FISH FARM AS","Q2"
"245","INDUCTME","Induct AS",2020-05-15,"INDUCT - ANNUAL REPORT FOR 2019","Q4"
"246","INDUCTME","Induct AS",2020-08-14,"INDUCT - INTERIM REPORT Q2 2020","Q2"
"247","INFRNT","Infront ASA",2020-02-28,"Infront ASA: Good progress on vwd integration and strong revenue and user growth","Q4"
"248","INFRNT","Infront ASA",2020-05-15,"Infront ASA: Stable operations with vwd integration progressing as planned","Q1"
"249","INFRNT","Infront ASA",2020-08-21,"Infront ASA: Strong performance in challenging environment","Q2"
"250","INSR","Insr Insurance Group ASA",2020-02-28,"Insr: Q4 2019 results: Underlying on track","Q4"
"251","INSR","Insr Insurance Group ASA",2020-05-14,"Insr: Q1 2020 results - Profit ahead","Q1"
"252","INSR","Insr Insurance Group ASA",2020-08-28,"Insr: Q2 and H1 2020 results - Orderly Wind-down","Q2"
"253","INSTAME","Instabank ASA",2020-02-11,"Instabank ASA doblet resultat i 4. kvartal 2019","Q4"
"254","INSTAME","Instabank ASA",2020-05-07,"Instabank 1. kvartal 2020: Størst utenfor Norge","Q1"
"255","INSTAME","Instabank ASA",2020-08-13,"Instabank Q2: Ny strategi gir resultater","Q2"
"256","IOX","Interoil Exploration and Prod. ASA",2020-02-27,"Interoil Q4 2019","Q4"
"257","IOX","Interoil Exploration and Prod. ASA",2020-06-12,"Interoil Q1 2020 interim financial report","Q1"
"258","IOX","Interoil Exploration and Prod. ASA",2020-08-28,"Interoil Q2 2020 interim financial report","Q2"
"259","ITE","Itera ASA",2020-02-25,"Solid lønnsomhet og nye kunder i nye bransjer","Q4"
"260","ITE","Itera ASA",2020-05-05,"Sterk vekst i nye kunder","Q1"
"261","ITE","Itera ASA",2020-08-25,"Den positive utviklingen fortsetter under Covid-19","Q2"
"262","JAEREN","Jæren Sparebank",2020-02-13,"Jæren Sparebank - resultat 4. kvartal 2019/foreløpig årsregnskap 2019","Q4"
"263","JAEREN","Jæren Sparebank",2020-05-14,"Jæren Sparebank - resultat 1. kvartal 2020","Q1"
"264","JAEREN","Jæren Sparebank",2020-08-13,"Jæren Sparebank - resultat 2. kvartal 2020","Q2"
"265","JIN","Jinhui Shipping and Transport. Ltd",2020-02-28,"CONFERENCE CALL - 28 FEBRUARY 2020","Q4"
"266","JIN","Jinhui Shipping and Transport. Ltd",2020-05-29,"FIRST QUARTER REPORT FOR THE QUARTER ENDED 31 MARCH 2020","Q1"
"267","JIN","Jinhui Shipping and Transport. Ltd",2020-08-25,"SECOND QUARTER AND HALF YEARLY REPORT FOR THE QUARTER AND SIX MONTHS ENDED 30 JUNE 2020","Q2"
"268","JPKME","J.P. Kenny Petroleum Ltd",2020-06-05,"Annual Report 2019","Q4"
"269","JPKME","J.P. Kenny Petroleum Ltd",2020-09-29,"JPKenny Petroleum Half Year Report 2020","Q2"
"270","KAHOOTME","Kahoot! AS",2020-02-27,"Kahoot! AS reports fourth quarter 2019 results","Q4"
"271","KAHOOTME","Kahoot! AS",2020-05-07,"Kahoot! AS reports first quarter 2020 results","Q1"
"272","KAHOOTME","Kahoot! AS",2020-08-20,"Kahoot! AS reports second quarter 2020 results","Q2"
"273","KCC","Klaveness Combination Carriers ASA",2020-02-25,"Klaveness Combination Carriers ASA: Q4 2019 results","Q4"
"274","KCC","Klaveness Combination Carriers ASA",2020-05-27,"KCC: Q1 2020 results","Q1"
"275","KCC","Klaveness Combination Carriers ASA",2020-08-19,"KCC: Q2 2020 results","Q2"
"276","KID","Kid ASA",2020-02-26,"KID ASA - FOURTH QUARTER 2019 RESULTS","Q4"
"277","KID","Kid ASA",2020-05-19,"Kid ASA - First Quarter 2020 Results","Q1"
"278","KID","Kid ASA",2020-08-20,"Kid ASA - Second Quarter 2020 Results","Q2"
"279","KIT","Kitron ASA",2020-02-13,"Kitron: Q4 2019 - Strong development continues","Q4"
"280","KIT","Kitron ASA",2020-04-23,"Kitron: Q1 2020 - Sterk utvikling totalt sett","Q1"
"281","KIT","Kitron ASA",2020-07-10,"Kitron: Q2 2020 - Rekordresultater","Q2"
"282","KOA","Kongsberg Automotive ASA",2020-02-27,"Kongsberg Automotive - Annual Report 2019","Q4"
"283","KOA","Kongsberg Automotive ASA",2020-04-23,"Kongsberg Automotive reports Q1 2020 results","Q1"
"284","KOA","Kongsberg Automotive ASA",2020-08-06,"Kongsberg Automotive reports Q2 2020 results","Q2"
"285","KOG","Kongsberg Gruppen ASA",2020-02-12,"Record-high order intake and strong growth in 2019","Q4"
"286","KOG","Kongsberg Gruppen ASA",2020-07-15,"KONGSBERG leverer er et godt kvartal i en utfordrende situasjon","Q2"
"287","KOMP","Komplett Bank ASA",2020-03-04,"Komplett Bank ASA: Notice of annual general meeting 2020 and publication of annual report for 2019","Q4"
"288","KOMP","Komplett Bank ASA",2020-05-13,"Komplett Bank ASA: Q1 2020 results <U+0096> lower loan losses and improved profitability","Q1"
"289","KOMP","Komplett Bank ASA",2020-08-13,"Komplett Bank ASA: Q2 2020 results <U+0096> stable loan loss ratio and operations","Q2"
"290","KVAER","Kværner ASA",2020-02-12,"Kvaerner results up, dividend proposed","Q4"
"291","KVAER","Kværner ASA",2020-04-27,"Første kvartal 2020: Resultatene påvirkes negativt av global pandemi","Q1"
"292","KVAER","Kværner ASA",2020-07-09,"2. kvartal og halvårsresultat 2020 - Muligheter for vekst","Q2"
"293","LAVOME","Lavo.tv AS",2020-06-30,"Årsrapport 2019","Q4"
"294","LAVOME","Lavo.tv AS",2020-09-15,"Halvårsberetning 2020","Q2"
"295","LIFEME","Lifecare AS",2020-06-01,"Årsregnskap, Årsrapport og Revisjonsberetning 2019","Q4"
"296","LIFEME","Lifecare AS",2020-09-01,"Semi-annually report 30.06.20","Q2"
"297","LSG","Lerøy Seafood Group ASA",2020-02-25,"Lerøy Seafood Group ASA: Foreløpige finansielle tall 2019","Q4"
"298","LSG","Lerøy Seafood Group ASA",2020-05-14,"Correction: Lerøy Seafood Group ASA: Q1 2020 Results","Q1"
"299","LSG","Lerøy Seafood Group ASA",2020-08-20,"Lerøy Seafood Group ASA: Resultat andre kvartal og første halvår 2020","Q2"
"300","LSTSBME","Lillestrøm Sparebank",2020-02-11,"LillestrømBanken 4. kvartalsrapport 2020","Q4"
"301","LSTSBME","Lillestrøm Sparebank",2020-05-13,"LillestrømBanken 1. kvartalsrapport 2020","Q1"
"302","LSTSBME","Lillestrøm Sparebank",2020-08-11,"LillestrømBanken 2. kvartalsrapport 2020","Q2"
"303","MEDI","Medistim ASA",2020-03-27,"Annual Report for Medistim ASA for 2019","Q4"
"304","MEDI","Medistim ASA",2020-04-29,"First quarter result for 2020 for Medistim ASA","Q1"
"305","MEDI","Medistim ASA",2020-08-14,"Presentation of second quarter and 1st half results 2020 for Medistim ASA","Q2"
"306","MELG","Melhus Sparebank",2020-02-13,"DELÅRSREGNSKAP 4. KV 2019/ FORELØPIG ÅRSREGNSKAP 2019","Q4"
"307","MELG","Melhus Sparebank",2020-05-15,"DELÅRSREGNSKAP 1. KVARTAL 2020","Q1"
"308","MELG","Melhus Sparebank",2020-08-13,"DELÅRSREGNSKAP 2. KVARTAL 2020","Q2"
"309","MGN","Magnora ASA",2020-02-14,"Magnora ASA Q4 2019 Results <U+0096> Growth Opportunities","Q4"
"310","MGN","Magnora ASA",2020-05-26,"Magnora ASA: Q1 2020 Report <U+0096> Electric Future","Q1"
"311","MGN","Magnora ASA",2020-08-25,"Magnora ASA: Q2 and 1H 2020 financial results","Q2"
"312","MING","SpareBank 1 SMN",2020-03-06,"SpareBank 1 SMN : Annual report 2019 published","Q4"
"313","MING","SpareBank 1 SMN",2020-08-11,"SpareBank 1 SMN: Sterk kundevekst og bedre resultat enn forventet","Q2"
"314","MORG","Sparebanken Møre",2020-01-30,"Strong annual results benefit the region","Q4"
"315","MORG","Sparebanken Møre",2020-04-30,"Godt rustet for en endret markedssituasjon","Q1"
"316","MOWI","Mowi ASA",2020-02-12,"Rekordhøy omsetning og volumer for Mowi","Q4"
"317","MOWI","Mowi ASA",2020-05-13,"Mowi oppnådde et operasjonelt driftsresultat på 109 millioner euro i første kvartal","Q1"
"318","MOWI","Mowi ASA",2020-08-26,"Mowi oppnådde et operasjonelt driftsresultat på 99 millioner euro i andre kvartal","Q2"
"319","MPCC","MPC Container Ships ASA",2020-02-28,"MPC Container Ships ASA reports Q4 and twelve-month 2019 results","Q4"
"320","MPCC","MPC Container Ships ASA",2020-05-27,"MPC Container Ships ASA reports Q1 and three-month 2020 results","Q1"
"321","MPCC","MPC Container Ships ASA",2020-08-31,"MPC Container Ships ASA reports Q2 and six-month 2020 results","Q2"
"322","MRCELME","Mercell Holding AS",2020-09-15,"Mercell delivers continued growth and strategic expansion in H1 2020","Q2"
"323","MSEIS","Magseis Fairfield ASA",2020-02-13,"Magseis Fairfield reports results for the fourth quarter and full year 2019","Q4"
"324","MSEIS","Magseis Fairfield ASA",2020-05-12,"Magseis Fairfield reports results for the first quarter 2020","Q1"
"325","MSEIS","Magseis Fairfield ASA",2020-08-25,"Magseis Fairfield reports results for the second quarter 2020","Q2"
"326","MULTI","Multiconsult ASA",2020-02-26,"Multiconsult ASA fourth quarter and full year 2019","Q4"
"327","MULTI","Multiconsult ASA",2020-05-20,"Multiconsult - Solid Q1 with significant improved profitability and revenues growth","Q1"
"328","MULTI","Multiconsult ASA",2020-08-26,"Strong quarter and continued growth","Q2"
"329","NANO","Nordic Nanovector ASA",2020-02-27,"Nordic Nanovector ASA - Results for the Fourth Quarter and Full Year 2019","Q4"
"330","NANO","Nordic Nanovector ASA",2020-05-26,"Nordic Nanovector ASA: Results for the First Quarter 2020","Q1"
"331","NANO","Nordic Nanovector ASA",2020-08-27,"Nordic Nanovector ASA: Results for the Second Quarter and First Half 2020","Q2"
"332","NAPA","Napatech A/S",2020-03-24,"Napatech A/S: Annual Report 2019","Q4"
"333","NAPA","Napatech A/S",2020-08-13,"Napatech A/S: Resultater for andre kvartal og første halvår 2020","Q2"
"334","NAS","Norwegian Air Shuttle ASA",2020-02-13,"Norwegian Air Shuttle reports fourth quarter 2019 results","Q4"
"335","NAS","Norwegian Air Shuttle ASA",2020-08-28,"Norwegian Air Shuttle ASA (NAS) - First half 2020 interim report and presentation","Q2"
"336","NATTO","NattoPharma ASA",2020-02-19,"RECORD STRONG END TO 2019","Q4"
"337","NATTO","NattoPharma ASA",2020-05-06,"Flying start to the new year","Q1"
"338","NATTO","NattoPharma ASA",2020-07-15,"Exponential growth in the first six month of 2020","Q2"
"339","NAVA","Navamedic ASA",2020-02-13,"Navamedic ASA: Resultat for fjerde kvartal 2019","Q4"
"340","NAVA","Navamedic ASA",2020-05-14,"Navamedic ASA: Q1 2020 financial results","Q1"
"341","NAVA","Navamedic ASA",2020-08-20,"Navamedic ASA: Q2 and first half 2020 financial results","Q2"
"342","NEL","NEL ASA",2020-03-05,"Nel ASA: Fourth quarter 2019 financial results","Q4"
"343","NEL","NEL ASA",2020-05-07,"Nel ASA: First quarter 2020 financial results","Q1"
"344","NEL","NEL ASA",2020-08-26,"Nel ASA: Second quarter 2020 financial results","Q2"
"345","NEXT","NEXT Biometrics Group ASA",2020-02-26,"NEXT Biometrics Group ASA <U+0096> Interim report as at 31 December 2019","Q4"
"346","NEXT","NEXT Biometrics Group ASA",2020-05-12,"NEXT Biometrics Group ASA <U+0096> Interim report as at 31 March 2020","Q1"
"347","NEXT","NEXT Biometrics Group ASA",2020-08-18,"NEXT Biometrics Group ASA <U+0096> Interim report as of 30 June 2020","Q2"
"348","NHY","Norsk Hydro ASA",2020-02-07,"Norsk Hydro: Fjerde kvartal 2019: Kraftige tiltak i svake markeder","Q4"
"349","NHY","Norsk Hydro ASA",2020-04-29,"Norsk Hydro: First quarter 2020: Lower cost lifts result amid significant market uncertainty","Q1"
"350","NHY","Norsk Hydro ASA",2020-07-22,"Norsk Hydro: Second quarter 2020: Firm measures, lower costs in challenging markets","Q2"
"351","NISBME","Nidaros Sparebank",2020-02-28,"Foreløpig årsrapport for 2019","Q4"
"352","NISBME","Nidaros Sparebank",2020-05-08,"Delårsrapport 1. kvartal 2020","Q1"
"353","NISBME","Nidaros Sparebank",2020-08-14,"Delårsrapport 2. kvartal 2020 - Nidaros Sparebank","Q2"
"354","NKR","Nekkar ASA",2020-02-26,"Nekkar ASA: Financial report 4Q 2019","Q4"
"355","NKR","Nekkar ASA",2020-08-20,"Nekkar ASA: Financial report 1H 2020","Q2"
"356","NOD","Nordic Semiconductor ASA",2020-02-07,"Nordic Semiconductor ASA <U+0096> Fourth quarter 2019 results","Q4"
"357","NOD","Nordic Semiconductor ASA",2020-04-21,"Nordic Semiconductor ASA <U+0096> First quarter 2020 results","Q1"
"358","NOD","Nordic Semiconductor ASA",2020-07-13,"NOD: Second quarter and first half year results 2020","Q2"
"359","NODL","Northern Drilling Ltd.",2020-02-28,"NODL: Fourth Quarter 2019 Results","Q4"
"360","NODL","Northern Drilling Ltd.",2020-05-29,"NODL: First Quarter 2020 Results","Q1"
"361","NODL","Northern Drilling Ltd.",2020-08-28,"NODL: Second Quarter 2020 Results","Q2"
"362","NOFI","Norwegian Finans Holding ASA",2020-02-20,"NORWEGIAN FINANS HOLDING ASA: STRONG GROWTH AND EARNINGS IN BANK NORWEGIAN","Q4"
"363","NOFI","Norwegian Finans Holding ASA",2020-04-30,"NORWEGIAN FINANS HOLDING ASA: STRONG FINANCIAL PERFORMANCE IN AN UNCERTAIN ENVIRONMENT","Q1"
"364","NOFI","Norwegian Finans Holding ASA",2020-08-13,"NORWEGIAN FINANS HOLDING ASA: EARNINGS GROWTH, STRONG FUNDAMENTALS AND COST CONTROL","Q2"
"365","NOL","Northern Ocean Ltd.",2020-02-28,"NOL: Fourth Quarter 2019 Results","Q4"
"366","NOL","Northern Ocean Ltd.",2020-05-29,"NOL: First Quarter 2020 Results","Q1"
"367","NOL","Northern Ocean Ltd.",2020-08-28,"NOL: Second Quarter 2020 Results","Q2"
"368","NOM","Nordic Mining ASA",2020-02-11,"Nordic Mining ASA (OAX:NOM) - Interim report per 31 December 2019","Q4"
"369","NOM","Nordic Mining ASA",2020-05-05,"Nordic Mining ASA (OAX:NOM) - Interim report per 31 March 2020","Q1"
"370","NOM","Nordic Mining ASA",2020-08-18,"Nordic Mining ASA (OAX:NOM) - Interim report per 30 June 2020","Q2"
"371","NONG","SpareBank 1 Nord-Norge",2020-02-13,"SpareBank 1 Nord-Norge: Foreløpig resultat 2019","Q4"
"372","NONG","SpareBank 1 Nord-Norge",2020-05-13,"SpareBank 1 Nord-Norge: Resultat 1. kvartal 2020","Q1"
"373","NONG","SpareBank 1 Nord-Norge",2020-08-12,"SpareBank 1 Nord-Norge: Resultat 2. kvartal 2020","Q2"
"374","NOR","Norwegian Energy Company ASA",2020-02-25,"Noreco announces fourth quarter 2019 results","Q4"
"375","NOR","Norwegian Energy Company ASA",2020-05-20,"Noreco announces first quarter 2020 results","Q1"
"376","NOR","Norwegian Energy Company ASA",2020-08-21,"Noreco announces second quarter and first half year 2020 results","Q2"
"377","NORBIT","NORBIT ASA",2020-02-14,"NORBIT - Strong growth for the fourth quarter and full year 2019","Q4"
"378","NORBIT","NORBIT ASA",2020-05-06,"NORBIT - Resultater for første kvartal 2020","Q1"
"379","NORBIT","NORBIT ASA",2020-08-13,"NORBIT - Results for the second quarter and first half of 2020","Q2"
"380","NORTH","North Energy ASA",2020-02-27,"North Energy ASA - Results for the fourth quarter 2019","Q4"
"381","NORTH","North Energy ASA",2020-05-28,"North Energy ASA - Results for the first quarter 2020","Q1"
"382","NORTH","North Energy ASA",2020-08-31,"North Energy ASA - Results for the second quarter and first half year 2020","Q2"
"383","NPRO","Norwegian Property ASA",2020-02-06,"NPRO: 4Q 2019 - Strategic acquisitions and divestments increase the profit in the quarter","Q4"
"384","NPRO","Norwegian Property ASA",2020-04-29,"NPRO: 1Q 2020 - Covid-19 has a negative impact on earnings, and it has been resolved to pay no dividends for the quarter","Q1"
"385","NPRO","Norwegian Property ASA",2020-07-09,"NPRO: 2Q 2020 - influenced by corona and the acquisition of Veidekke Eiendom","Q2"
"386","NRC","NRC Group ASA",2020-02-12,"NRC GROUP ASA - FOURTH QUARTER 2019 RESULTS","Q4"
"387","NRC","NRC Group ASA",2020-05-20,"NRC Group ASA - First quarter 2020 results","Q1"
"388","NRC","NRC Group ASA",2020-08-19,"NRC GROUP ASA - SECOND QUARTER AND FIRST HALF 2020 RESULTS","Q2"
"389","NRS","Norway Royal Salmon ASA",2020-02-11,"Norway Royal Salmon: Q4 19 - Operational EBIT of MNOK 136","Q4"
"390","NRS","Norway Royal Salmon ASA",2020-05-12,"Norway Royal Salmon (NRS): Q1 20 - Operasjonell EBIT på MNOK 75","Q1"
"391","NRS","Norway Royal Salmon ASA",2020-08-25,"Norway Royal Salmon (NRS): Q2 20 - Operational EBIT of MNOK 120","Q2"
"392","NSKOG","Norske Skog ASA",2020-03-23,"Operational update and annual report 2019","Q4"
"393","NSKOG","Norske Skog ASA",2020-07-16,"Fall i etterspørselen som følge av coronapandemien","Q2"
"394","NTS","NTS ASA",2020-02-26,"NTS ASA: Delårsrapport 4. kvartal 2019","Q4"
"395","NTS","NTS ASA",2020-05-13,"NTS ASA: Delårsrapport 1. kvartal 2020","Q1"
"396","NTS","NTS ASA",2020-08-31,"NTS ASA: Delårsrapport 2. kvartal 2020","Q2"
"397","OBSERV","Observe Medical ASA",2020-02-25,"Observe Medical ASA: Q4 2019 financial results","Q4"
"398","OBSERV","Observe Medical ASA",2020-05-12,"Observe Medical ASA: Q1 2020 financial results","Q1"
"399","OBSERV","Observe Medical ASA",2020-08-18,"Observe Medical ASA: Interim report second quarter and first half year 2020","Q2"
"400","OCY","Ocean Yield ASA",2020-02-12,"Ocean Yield ASA: Fourth Quarter 2019 Report","Q4"
"401","OCY","Ocean Yield ASA",2020-05-05,"Ocean Yield ASA: First Quarter 2020 Report","Q1"
"402","OCY","Ocean Yield ASA",2020-07-09,"Ocean Yield ASA: Second quarter and first half year results 2020","Q2"
"403","ODF","Odfjell SE",2020-02-11,"Odfjell SE: Bedret resultat drevet av Odfjell Tankers","Q4"
"404","ODF","Odfjell SE",2020-05-07,"Odfjell SE 1Q20: Improved results despite a market facing several uncertainties","Q1"
"405","ODF","Odfjell SE",2020-08-20,"Odfjell SE: Good quarter driven by increased chemical tanker earnings","Q2"
"406","ODL","Odfjell Drilling Ltd",2020-02-27,"ODL. - Presentation in today<U+0092>s Investor Conference Call","Q4"
"407","ODL","Odfjell Drilling Ltd",2020-05-13,"Odfjell Drilling Ltd. - Presentation in today<U+0092>s Investor Conference Call","Q1"
"408","ODL","Odfjell Drilling Ltd",2020-08-27,"Odfjell Drilling Ltd. reports for the second quarter of 2020","Q2"
"409","OET","Okeanis Eco Tankers Corp.",2020-02-28,"Okeanis Eco Tankers Corp. Reports Unaudited Interim Condensed Results for the Fourth Quarter and Twelve Month Period of 2019","Q4"
"410","OET","Okeanis Eco Tankers Corp.",2020-05-14,"Okeanis Eco Tankers Corp. Reports Unaudited Interim Condensed Consolidated Results for the First Quarter of 2020","Q1"
"411","OET","Okeanis Eco Tankers Corp.",2020-08-14,"Okeanis Eco Tankers Corp. Reports Unaudited Interim Condensed Consolidated Results for the Second Quarter and First Half of 2020","Q2"
"412","OKEA","OKEA ASA",2020-02-13,"OKEA ASA fourth quarter results","Q4"
"413","OKEA","OKEA ASA",2020-04-28,"OKEA ASA - first quarter results 2020","Q1"
"414","OKEA","OKEA ASA",2020-07-14,"OKEA ASA second quarter results 2020","Q2"
"415","OLT","Olav Thon Eiendomsselskap ASA",2020-02-13,"RAPPORT FOR 4. KVARTAL OG FORELØPIG ÅRSRESULTAT 2019","Q4"
"416","OLT","Olav Thon Eiendomsselskap ASA",2020-05-20,"RAPPORT FOR 1. KVARTAL 2020","Q1"
"417","OLT","Olav Thon Eiendomsselskap ASA",2020-08-14,"REPORT FOR Q2 AND H1 2020","Q2"
"418","ORK","Orkla ASA",2020-02-06,"Orkla ASA: Jotun kvartalsoppdatering","Q4"
"419","ORK","Orkla ASA",2020-04-17,"Orkla ASA: Jotun kvartalsoppdatering","Q1"
"420","ORK","Orkla ASA",2020-07-13,"Orkla ASA: Jotun quarterly update","Q2"
"421","OTELLO","Otello Corporation ASA",2020-02-27,"Otello Corporation announces fourth quarter results","Q4"
"422","OTELLO","Otello Corporation ASA",2020-05-07,"Otello Corporation announces first quarter results","Q1"
"423","OTELLO","Otello Corporation ASA",2020-08-20,"Otello Corporation announces second quarter results","Q2"
"424","OTS","Oceanteam ASA",2020-04-09,"Oceanteam ASA reports full year 2019 results","Q4"
"425","OTS","Oceanteam ASA",2020-08-27,"Oceanteam ASA reports half year 2020 results","Q2"
"426","PARB","Pareto Bank ASA",2020-01-23,"Pareto Bank ASA Delårsrapport 4. kvartal 2019","Q4"
"427","PARB","Pareto Bank ASA",2020-04-30,"Pareto Bank ASA Delårsrapport 1. kvartal 2020","Q1"
"428","PARB","Pareto Bank ASA",2020-07-16,"Pareto Bank ASA Delårsrapport 2. kvartal 2020","Q2"
"429","PCIB","PCI Biotech Holding ASA",2020-04-22,"PCI Biotech Holding ASA publishes the Annual Report 2019","Q4"
"430","PCIB","PCI Biotech Holding ASA",2020-05-06,"PCI Biotech: First quarter 2020 results","Q1"
"431","PCIB","PCI Biotech Holding ASA",2020-08-26,"PCI Biotech: First half-year 2020 results","Q2"
"432","PEN","Panoro Energy ASA",2020-02-26,"Panoro Energy Announces Full Year 2019 Results","Q4"
"433","PEN","Panoro Energy ASA",2020-05-28,"Panoro Energy Announces First Quarter 2020 Results and Provides Operations and Corporate Updates","Q1"
"434","PEN","Panoro Energy ASA",2020-08-27,"Panoro Energy Announces Half Year 2020 (1H) Results and Provides Operations and Corporate Updates","Q2"
"435","PEXIP","Pexip Holding ASA",2020-05-27,"First quarter 2020 results","Q1"
"436","PEXIP","Pexip Holding ASA",2020-08-12,"Pexip Holding ASA: Results for second quarter 2020","Q2"
"437","PGS","PGS ASA",2020-03-23,"PGS ASA: Annual Report 2019","Q4"
"438","PGS","PGS ASA",2020-04-23,"PGS ASA: Q1 2020 Results","Q1"
"439","PHLY","Philly Shipyard ASA",2020-02-12,"Philly Shipyard ASA: Q4 2019 results","Q4"
"440","PHLY","Philly Shipyard ASA",2020-05-05,"Philly Shipyard ASA: Q1 2020 Results","Q1"
"441","PHLY","Philly Shipyard ASA",2020-07-15,"Philly Shipyard ASA: Q2 2020 Results","Q2"
"442","PHO","Photocure ASA",2020-02-27,"Photocure ASA: Results for the fourth quarter of 2019","Q4"
"443","PHO","Photocure ASA",2020-05-07,"Photocure ASA: Results for the first quarter of 2020","Q1"
"444","PHO","Photocure ASA",2020-08-18,"Photocure ASA: Results for the second quarter and first half of 2020","Q2"
"445","PLCS","Polarcus Limited",2020-04-02,"Polarcus 2019 Annual Report and Sustainability Report","Q4"
"446","PLCS","Polarcus Limited",2020-04-30,"Polarcus First Quarter 2020 Results: Improved pricing and profitability","Q1"
"447","PLT","poLight ASA",2020-02-14,"poLight ASA - Commercial launch of TLens and increased probability of additional design-wins","Q4"
"448","PLT","poLight ASA",2020-05-15,"poLight ASA - Commercial breakthrough in first quarter 2020","Q1"
"449","PLT","poLight ASA",2020-08-21,"poLight ASA - Good progress on new customer cases","Q2"
"450","PNOR","PetroNor E&P Limited",2020-05-06,"Audited Annual Financial Report - 31 December 2019","Q4"
"451","PNOR","PetroNor E&P Limited",2020-05-29,"Interim Financial Report for the quarter ended 31 March 2020","Q1"
"452","PNOR","PetroNor E&P Limited",2020-08-31,"Interim Financial Report for the Half-Year and Quarter Ended 30 June 2020","Q2"
"453","POL","Polaris Media ASA",2020-02-14,"Polaris Media (POL) - Årsregnskap 2019","Q4"
